2024-07-28 20:16:38.920 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-07-28 20:16:38.920 [info] Added views:workbench.panel.output in workbench.panel.output
2024-07-28 20:16:38.920 [info] Added views:terminal in terminal
2024-07-28 20:16:38.920 [info] Added views:outline in workbench.view.explorer
2024-07-28 20:16:38.920 [info] Added views:workbench.scm in workbench.view.scm
2024-07-28 20:16:38.920 [info] Added views:workbench.view.search in workbench.view.search
2024-07-28 20:16:38.920 [info] Added views:timeline in workbench.view.explorer
2024-07-28 20:16:38.920 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-07-28 20:16:39.181 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2024-07-28 20:16:39.811 [info] Added views:platformio-ide.quickAccess in workbench.view.extension.platformio
2024-07-28 20:16:39.827 [info] Added views:platformio-debug.peripherals,platformio-debug.registers,platformio-debug.memory,platformio-debug.disassembly in workbench.view.debug
2024-07-28 20:16:39.922 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-28 20:16:40.412 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-07-28 20:16:40.550 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-07-28 20:16:45.974 [info] Added views:javaProjectExplorer in workbench.view.explorer
2024-07-28 20:16:48.212 [info] Added views:platformio-ide.projectTasks in workbench.view.extension.platformio
2024-07-28 20:16:50.819 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-28 20:16:52.390 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-28 20:17:45.658 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-28 20:23:17.440 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-28 20:23:17.464 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-28 20:23:19.296 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-28 20:24:00.479 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-28 20:28:15.386 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-28 20:28:15.413 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-28 20:28:17.345 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-28 20:28:18.344 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-28 20:28:24.019 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-28 20:28:24.037 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-28 20:28:25.977 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-28 20:28:28.044 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-28 20:28:42.908 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-28 20:28:42.920 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-28 20:28:44.531 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-28 20:29:13.275 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
